TransactionNo,Items
630,Fudge
631,Coffee
632,Brownie
633,Cake
634,Tea
635,"Coffee, Coffee, Coffee, Soup, Sandwich, Cake"
636,"Coffee, Bread, Brownie"
637,"Bread, Coffee, Brownie"
638,"Coffee, Bread, Brownie"
639,"Brownie, Coffee"
640,"Coffee, Soup, Brownie"
641,Fudge
642,"Bread, Focaccia"
643,"Bread, Farm House, Jam"
644,"Hot chocolate, Brownie"
645,Hot chocolate
646,"Coffee, Brownie"
647,"Medialuna, Pastry"
648,Bread
650,"Coffee, Pastry, Bread"
651,"Coffee, Mineral water"
652,"Pastry, Bread, Hot chocolate"
653,Bread
654,Bread
655,"Jam, Coffee, Coffee, Bread"
656,"Coffee, Coffee, Pastry"
657,"Medialuna, Coffee, Coffee, Focaccia, Hearty & Seasonal"
658,"Bread, Farm House, Coffee, Jam"
659,Farm House
660,"Coffee, Tea, Pastry, Medialuna"
661,"Pastry, Medialuna, Coffee"
662,"Coffee, Hot chocolate, Basket, Farm House"
663,"Pastry, Farm House"
664,"Hot chocolate, Coffee, My-5 Fruit Shoot"
665,"Pastry, Medialuna, Muffin"
666,Farm House
667,"Muffin, Pastry, Focaccia"
668,"Coffee, Tea"
669,Bread
670,Focaccia
671,"Coffee, Hot chocolate, Pastry, Jam"
672,Bread
673,"Coffee, Pastry, Bread"
674,Tea
675,"Hot chocolate, Coffee, Mineral water"
676,"Coffee, Coffee"
677,Coffee
678,"Jam, Coffee, Coffee"
680,Muffin
681,Bread
682,Bread
683,Bread
684,"Muffin, Hot chocolate, Coffee"
685,"Muffin, Fudge"
686,Bread
687,Bread
688,Farm House
689,"Coffee, Muffin"
690,Focaccia
691,"Bread, Tea"
692,"Coffee, Hot chocolate"
693,"Coffee, Tartine, Coffee, Pick and Mix Bowls, Jam"
695,Jam
696,Tartine
697,"Bread, Coffee"
698,"Coffee, Coffee, Mineral water, Juice, Tartine, Pick and Mix Bowls"
699,"Bread, Tea, Juice"
700,"Coffee, Coffee, Cake"
701,Farm House
702,Farm House
703,"Cake, Brownie, Coffee, Coffee"
704,"Focaccia, Coffee"
705,"Tea, Coffee, Muffin"
706,Coffee
707,"Tea, Coffee"
708,"Hearty & Seasonal, Cake, Coffee"
709,"Bread, Tea, Cake"
710,"Mighty Protein, Coffee"
711,"Hot chocolate, Muffin"
712,"Coffee, Coffee, Soup, Mighty Protein"
713,Jam
714,"Coffee, Alfajores"
715,"Cake, Hot chocolate, Alfajores"
716,"Hot chocolate, Tea, Muffin"
717,Brownie
718,"Cake, Coffee"
719,"Victorian Sponge, Alfajores, Tea"
720,Bread
721,"Tartine, Tea, Tartine"
722,"Mighty Protein, Tea"
723,"Bread, Fudge"
724,"Medialuna, Tartine, Coffee"
725,"Pastry, Bread"
726,"Pastry, Bread"
727,"Coffee, Tea, Alfajores, Alfajores"
728,"Alfajores, Alfajores, Coffee"
729,"Coffee, Alfajores"
730,"Alfajores, Pastry"
732,Alfajores
733,"Pastry, Tea, Alfajores, Hearty & Seasonal"
734,"Tea, Sandwich"
735,"Empanadas, Tea"
736,"Alfajores, Alfajores, Tea"
737,Alfajores
738,"Pastry, Dulce de Leche"
739,"Coffee, Pastry"
740,"Farm House, Coffee"
741,"Bread, Scandinavian, Medialuna"
742,Bread
743,"Pastry, Tea, Alfajores"
744,"Pastry, Coffee"
745,"Bread, Pastry, Muffin, Farm House"
746,"Medialuna, Tea"
747,Alfajores
748,"Sandwich, Tea"
749,"Tea, Bread"
750,"Bread, Coffee, Pastry"
751,"Coffee, Coffee, Muffin, Alfajores, Empanadas"
752,Coffee
753,Bread
754,Coffee
755,Coffee
756,Bread
757,"Bread, Pastry, Medialuna, Tea"
758,"Tea, Bread"
759,Muffin
760,"Coffee, Muffin"
761,"Coffee, Bread, Pastry, Medialuna"
762,"Coffee, Coffee, Muffin"
763,"Muffin, Hot chocolate, Scandinavian, Bread"
764,Farm House
765,Muffin
766,Coffee
767,Bread
768,"Coffee, Coffee, Cookies"
769,"Coffee, Coffee"
770,Muffin
771,"Coffee, Tea, Keeping It Local"
772,"Coffee, Medialuna"
773,Bread
774,"Tartine, Scandinavian"
775,"Coffee, Tea"
776,Bread
777,"Coffee, Coke"
778,"Coffee, Muffin"
779,"Coffee, Bread, Coffee, Medialuna, Muffin, Scandinavian"
780,Bread
781,Coke
782,"Bread, Scandinavian"
783,Coffee
784,Bread
785,"Scandinavian, Bread"
786,"Fudge, Fudge"
787,"Soup, Hearty & Seasonal, Coffee"
788,Coke
789,"Coffee, Cookies, Tea"
790,"Pastry, Tea, Coffee"
791,Bread
792,"Coffee, Medialuna"
793,"Coffee, Coffee, Muffin, Sandwich, Soup"
794,"Tea, Coffee, Muffin"
795,Alfajores
796,Bread
797,"Coffee, Medialuna"
798,Coffee
799,Coffee
800,Medialuna
802,"Empanadas, Bread, Scandinavian"
803,"Coffee, Tartine"
804,Tea
805,Scandinavian
806,Muffin
807,"Scandinavian, Bread"
808,Bread
809,Coffee
810,Bread
811,Bread
812,"Coffee, Coffee"
813,"Cookies, Scandinavian"
814,"Coffee, Bread, Empanadas, Medialuna"
815,"Coffee, Pastry"
816,Bread
817,"Pastry, Tea"
818,"Coffee, Coffee, Pastry"
819,"Coffee, Bread"
820,"Coffee, Keeping It Local"
821,Fudge
822,"Tartine, Coffee, Coffee"
824,"Hot chocolate, Coffee, Pastry, Medialuna"
825,"Alfajores, Coffee"
826,Coffee
828,"Coffee, Coffee, Medialuna"
829,Coke
830,"Coffee, Coffee, Alfajores"
831,Muffin
832,"Farm House, Brownie, Fudge"
833,"Coffee, Coffee"
834,"Tea, Muffin, Farm House"
835,"Coffee, Pastry"
836,"Pastry, Brownie"
837,Medialuna
838,Coffee
839,"Pastry, Coffee, Juice"
840,"Coffee, Bread"
841,"Tea, Coffee"
842,"Tea, Alfajores"
843,"Alfajores, Coffee"
844,Scandinavian
845,"Pastry, Medialuna"
846,Brownie
847,Farm House
848,"Coffee, Cookies"
849,Soup
850,"Art Tray, Coffee, Coffee, Brownie"
851,Coffee
852,Farm House
853,"Soup, Art Tray, Alfajores, Frittata"
854,"Sandwich, Coffee"
855,Tea
856,Farm House
857,"Scandinavian, Muffin"
858,Farm House
859,Scandinavian
860,Soup
861,"Hearty & Seasonal, Tea, Bread"
862,Hot chocolate
863,"Coffee, Sandwich, Hearty & Seasonal"
864,"Brownie, Hearty & Seasonal, Sandwich, Coffee"
865,"Medialuna, Coffee"
866,"Coffee, Brownie, Soup"
867,"Sandwich, Sandwich, Alfajores, Alfajores, Focaccia"
868,"Farm House, Tartine"
869,Bread
870,Coffee
871,"Hot chocolate, Tea, Muffin"
872,Pastry
873,"Coffee, Brownie, Hearty & Seasonal, Soup, Bowl Nic Pitt"
874,Coffee
875,"Alfajores, Medialuna, Scandinavian, Farm House"
876,"Soup, Coffee"
877,"Tea, Tea"
878,"Coffee, Tea, Cookies"
879,"Tea, Muffin"
880,"Coffee, Coffee, Brownie"
881,Coffee
882,Coffee
883,Coffee
884,Farm House
885,"Coffee, Bread Pudding"
886,"Coffee, Medialuna"
887,Hot chocolate
888,"Coffee, Hot chocolate, Farm House"
889,"Pastry, Coffee"
890,Bread
891,"Pastry, Coffee"
892,"Coffee, Coffee"
893,"Coffee, Pastry"
894,Farm House
895,Bread
896,"Coffee, Hot chocolate"
897,Bread
898,"Coffee, Focaccia, Coffee, Medialuna, Bread"
899,Coffee
900,"Bread, Keeping It Local"
901,"Bread, Coffee"
902,Bread
903,"Bread, Medialuna"
904,Coffee
905,"Coffee, Coffee, Medialuna"
906,"Coffee, Cookies, Tartine"
907,"Tea, Bread"
908,"Bread, Keeping It Local, Coffee"
909,"Coffee, Medialuna"
910,"Coffee, Medialuna"
911,Tea
912,"Juice, Coke, Soup"
913,Bread
914,Brownie
915,"Brownie, Bread, Coffee"
916,"Coffee, Pastry, Bread, Hearty & Seasonal"
917,"Bread, Coffee, Brownie"
918,Coffee
919,"Bread, Cookies"
920,"Fudge, Eggs"
921,Bread
922,"Bread, Muffin"
923,Soup
924,"Coffee, Bread Pudding"
925,"Bread, Tartine"
926,"Sandwich, Coffee, Fudge, Jam, Bread Pudding"
927,"Bread Pudding, Soup, Coffee"
928,"Hearty & Seasonal, Bread"
929,"Coffee, Coffee, Cookies"
930,Coffee
931,Bread
932,"Coffee, Bread, Soup"
933,"Soup, Tea, Focaccia"
934,"Coffee, My-5 Fruit Shoot, Cookies"
935,"Coffee, Coffee"
936,"Coffee, Sandwich, Tea"
937,Scandinavian
938,Adjustment
939,Coffee
940,"Medialuna, Coffee"
941,Bread
942,Bread
943,"Coffee, Pastry"
944,Farm House
945,"Medialuna, Brownie"
946,"Bread, Pastry, Brownie"
947,"Pastry, Bread, Cookies"
948,"Bread, Bread"
949,"Cookies, Pastry, Coffee, Juice"
950,"Pastry, Cookies, Coffee"
951,"Coffee, Medialuna"
952,Bread
953,"Tartine, Coffee"
954,"Coffee, Medialuna"
955,Bread
956,"Bread, Coffee, Alfajores, Cookies"
957,"Bread, Coffee, Coffee"
958,Bread
959,"Bread, Coffee, Tea, Keeping It Local, Jam, Cookies"
960,"Pastry, Coffee, Juice"
961,"Medialuna, Bread, Focaccia"
962,"Pastry, Medialuna, Coffee"
963,Coffee
964,Coffee
965,"Coffee, Cookies, Truffles, Brownie, Bread"
966,"Art Tray, Tea"
967,Bread
968,Coffee
969,"Coffee, Cookies"
970,Brownie
971,"Bread, Tea, Empanadas"
972,"Bread, Hot chocolate"
973,"Coffee, Cookies"
974,Bread
975,"Tartine, Sandwich, Tea, Bread"
976,"Soup, Sandwich, Bread"
977,"Soup, Bread"
978,Fudge
979,Coffee
980,"Coffee, Empanadas, Soup"
981,"Bread, Coffee, Brownie"
982,"Coffee, Smoothies, Juice, Soup, Hearty & Seasonal"
983,"Alfajores, Sandwich, Hot chocolate, Coffee, Scandinavian, Cookies"
984,"Tea, Coffee"
985,"Bread, Cookies"
986,"Alfajores, Cookies, Bread, Bread"
987,"Tea, Brownie"
988,"Tea, Bread"
989,"Coffee, Alfajores"
990,Bread
991,"Empanadas, Coffee"
992,Bread
993,"Coffee, Hot chocolate"
994,Coffee
995,"Coffee, Brownie"
996,"Tea, Hot chocolate, Brownie, Truffles"
997,"Coffee, Keeping It Local"
